"State","County","Collection Date","Date Detected","HPAI Strain","Bird Species","WOAH Classification","Sampling Method","Submitting Agency"
"Florida","Brevard","12/28/2022","01/27/2023","EA H5","Lesser scaup","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Florida","Brevard","12/29/2022","01/27/2023","EA/AM H5N1","Black scoter","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Florida","Brevard","12/30/2022","01/27/2023","EA/AM H5N1","Northern gannet","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Florida","Brevard","12/31/2022","01/27/2023","EA/AM H5N1","Royal tern","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Florida","Brevard","01/04/2023","01/27/2023","EA/AM H5N1","Brown pelican","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Florida","Brevard","01/10/2023","01/27/2023","EA/AM H5N1","Black scoter","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Florida","Brevard","01/10/2023","01/27/2023","EA/AM H5N1","Black scoter","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Mississippi","Clay","01/12/2023","01/26/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"California","Imperial","01/08/2023","01/26/2023","EA H5","Northern shoveler","Wild bird","Hunter harvest","NWDP"
"Mississippi","Clay","01/12/2023","01/26/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Clay","01/12/2023","01/26/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Clay","01/12/2023","01/26/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Clay","01/12/2023","01/26/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Clay","01/12/2023","01/26/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Clay","01/12/2023","01/26/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Clay","01/12/2023","01/26/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jones","01/17/2023","01/26/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Alabama","Clarke","01/11/2023","01/26/2023","EA/AM H5N1","Bald eagle","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Winston","01/11/2023","01/26/2023","EA/AM H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Issaquena","01/19/2023","01/26/2023","EA/AM H5N1","Great horned owl","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Rankin","01/17/2023","01/26/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Clay","01/12/2023","01/26/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jones","01/17/2023","01/26/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Clay","01/12/2023","01/26/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jones","01/17/2023","01/26/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jones","01/17/2023","01/26/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jones","01/17/2023","01/26/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jones","01/17/2023","01/26/2023","EA H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jones","01/17/2023","01/26/2023","EA H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jones","01/17/2023","01/26/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jones","01/17/2023","01/26/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jones","01/17/2023","01/26/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Montana","Ravalli","01/18/2023","01/26/2023","EA/AM H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","MT FWP"
"New York","Rensselear","01/17/2023","01/26/2023","EA/AM H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","NY DEC"
"California","Merced","01/10/2023","01/26/2023","EA/AM H5N1","American white pelican","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","Merced","01/10/2023","01/26/2023","EA H5N1","Snow goose","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","Merced","01/10/2023","01/26/2023","EA/AM H5N1","Snow goose","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","Shasta","01/11/2023","01/26/2023","EA H5N1","Greater white-fronted goose","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","San Mateo","01/10/2023","01/26/2023","EA/AM H5N1","Peregrine falcon","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","San Mateo","01/10/2023","01/26/2023","EA H5N1","Western gull","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","San Mateo","01/10/2023","01/26/2023","EA H5N1","Western gull","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","San Mateo","01/10/2023","01/26/2023","EA H5N1","Turkey vulture","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"Wyoming","Natrona","01/18/2023","01/26/2023","EA H5N1","Hawk (unidentified)","Wild bird","Morbidity/Mortality","WY GFD"
"Wyoming","Washakie","01/15/2023","01/26/2023","EA H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","WY GFD"
"Montana","Cascade","01/19/2023","01/26/2023","EA/AM H5N1","Canada goose","Wild bird","Morbidity/Mortality","MT FWP"
"Montana","Cascade","01/19/2023","01/26/2023","EA H5","Canada goose","Wild bird","Morbidity/Mortality","MT FWP"
"California","Yolo","01/04/2023","01/24/2023","EA H5N1","Northern shoveler","Wild bird","Hunter harvest","NWDP"
"Tennessee","Wilson","12/29/2022","01/24/2023","EA H5N1","Mallard","Wild bird","Hunter harvest","NWDP"
"Tennessee","Hawkins","12/31/2022","01/24/2023","EA H5N1","Mallard","Wild bird","Hunter harvest","NWDP"
"North Carolina","Hyde","01/14/2023","01/24/2023","EA H5N1","Gadwall","Wild bird","Hunter harvest","NWDP"
"Wyoming","Goshen","01/13/2023","01/24/2023","EA/AM H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","WY GFD"
"Wyoming","Hot Springs","01/17/2023","01/24/2023","EA H5N1","Golden eagle","Wild bird","Morbidity/Mortality","WY GFD"
"Wyoming","Johnson","01/10/2023","01/24/2023","EA/AM H5N1","Wild turkey","Wild bird","Morbidity/Mortality","WY GFD"
"Wyoming","Johnson","01/10/2023","01/24/2023","EA/AM H5N1","Wild turkey","Wild bird","Morbidity/Mortality","WY GFD"
"Oregon","Multnomah","11/19/2022","01/24/2023","EA H5N1","Snow goose","Wild bird","Morbidity/Mortality","OR DFW"
"Oregon","Multnomah","11/09/2022","01/24/2023","EA H5N1","Bald eagle","Wild bird","Morbidity/Mortality","OR DFW"
"Oregon","Multnomah","11/16/2022","01/24/2023","EA H5N1","American crow","Wild bird","Morbidity/Mortality","OR DFW"
"Arizona","Coconino","01/09/2023","01/24/2023","EA/AM H5N1","Canada goose","Wild bird","Morbidity/Mortality","AZ GFD"
"Colorado","Arapahoe","01/11/2023","01/24/2023","EA H5N1","Red-tailed hawk","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Colorado","Denver","01/11/2023","01/24/2023","EA H5N1","Magpie (unidentified)","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Colorado","Arapahoe","01/11/2023","01/24/2023","EA H5N1","Great horned owl","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Colorado","Larimer","01/14/2023","01/24/2023","EA H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Minnesota","Dakota","12/21/2022","01/24/2023","EA H5N1","Bald eagle","Wild bird","Morbidity/Mortality","USFWS"
"North Dakota","Mercer","12/12/2022","01/24/2023","EA/AM H5N1","Canada goose","Wild bird","Morbidity/Mortality","NWDP"
"North Dakota","Mercer","12/12/2022","01/24/2023","EA/AM H5N1","Canada goose","Wild bird","Morbidity/Mortality","NWDP"
"North Dakota","Mercer","12/12/2022","01/24/2023","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","NWDP"
"North Dakota","Cass","11/29/2022","01/24/2023","EA/AM H5N1","Snow goose","Wild bird","Morbidity/Mortality","NWDP"
"Michigan","Isabella","11/01/2022","01/23/2023","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","MI DNR"
"Michigan","Isabella","11/01/2022","01/23/2023","EA/AM H5N1","Canada goose","Wild bird","Morbidity/Mortality","MI DNR"
"New Mexico","Santa Fe","01/09/2023","01/20/2023","EA H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","NM DGF"
"California","Glenn","Unknown","01/20/2023","EA/AM H5N1","Snow goose","Wild bird","Morbidity/Mortality","USGS"
"California","Glenn","Unknown","01/20/2023","EA/AM H5N1","Ross's goose","Wild bird","Morbidity/Mortality","USGS"
"California","Glenn","Unknown","01/20/2023","EA/AM H5N1","Great horned owl","Wild bird","Morbidity/Mortality","USGS"
"California","Glenn","Unknown","01/20/2023","EA/AM H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","USGS"
"Wisconsin","Wood","12/20/2022","01/20/2023","EA/AM H5N1","Bald eagle","Wild bird","Morbidity/Mortality","USGS"
"Alaska","Fairbanks North Star","Unknown","01/20/2023","EA H5N1","Lesser scaup","Wild bird","Morbidity/Mortality","AK DFG/USFWS"
"Alaska","Fairbanks North Star","Unknown","01/20/2023","EA H5N1","Lesser scaup","Wild bird","Morbidity/Mortality","AK DFG/USFWS"
"Washington","Whitman","01/09/2023","01/20/2023","EA H5N1","Bald eagle","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"California","Butte","12/29/2022","01/20/2023","EA/AM H5N1","Turkey vulture","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"Iowa","Story","01/12/2023","01/20/2023","EA/AM H5N1","Trumpeter swan","Wild bird","Morbidity/Mortality","IA DNR"
"Wyoming","Goshen","01/09/2023","01/20/2023","EA/AM H5N1","Great horned owl","Wild bird","Morbidity/Mortality","WY GFD"
"Wyoming","Fremont","01/11/2023","01/20/2023","EA H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","WY GFD"
"Wyoming","Natrona","01/06/2023","01/20/2023","EA/AM H5N1","Canada goose","Wild bird","Morbidity/Mortality","WY GFD"
"Wyoming","Hot Springs","01/11/2023","01/20/2023","EA/AM H5N1","Canada goose","Wild bird","Morbidity/Mortality","WY GFD"
"Florida","Duval","01/11/2023","01/20/2023","EA H5","Bald eagle","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"North Carolina","Dare","12/30/2022","01/20/2023","EA H5N1","Brown pelican","Wild bird","Morbidity/Mortality","NC WRC/SCWDS"
"South Carolina","Clarendon","01/03/2023","01/20/2023","EA H5N1","American white pelican","Wild bird","Morbidity/Mortality","SC DNR/SCWDS"
"Kansas","Wabaunsee","12/23/2022","01/20/2023","EA H5N1","American crow","Wild bird","Morbidity/Mortality","KS DWP/SCWDS"
"Delaware","Kent","01/09/2023","01/19/2023","EA/AM H5N1","Snow goose","Wild bird","Morbidity/Mortality","NWDP"
"New York","Onondaga","01/11/2023","01/19/2023","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","NY DEC"
"New York","Seneca","01/13/2023","01/19/2023","EA/AM H5N1","Canada goose","Wild bird","Morbidity/Mortality","NY DEC"
"Colorado","Larimer","01/11/2023","01/19/2023","EA H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","CO Parks & Wildlife"
"Colorado","Delta","01/06/2023","01/19/2023","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","CO Parks & Wildlife"
"Colorado","Kiowa","01/10/2023","01/19/2023","EA H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","CO Parks & Wildlife"
"Colorado","Broomfield","01/11/2023","01/19/2023","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","CO Parks & Wildlife"
"Mississippi","Jasper","01/09/2023","01/18/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jasper","01/09/2023","01/18/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jasper","01/09/2023","01/18/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jasper","01/09/2023","01/18/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jasper","01/09/2023","01/18/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jasper","01/09/2023","01/18/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jasper","01/09/2023","01/18/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jasper","01/09/2023","01/18/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jasper","01/09/2023","01/18/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jasper","01/09/2023","01/18/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jasper","01/09/2023","01/18/2023","EA H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jasper","01/09/2023","01/18/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jasper","01/09/2023","01/18/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jasper","01/09/2023","01/18/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jasper","01/09/2023","01/18/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jasper","01/09/2023","01/18/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jasper","01/09/2023","01/18/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jasper","01/09/2023","01/18/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jasper","01/09/2023","01/18/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Jasper","01/09/2023","01/18/2023","EA/AM H5N1","Black vulture","Wild bird","Morbidity/Mortality","NWDP"
"Arkansas","Greene","01/06/2023","01/18/2023","EA/AM H5N1","Snow goose","Wild bird","Morbidity/Mortality","NWDP"
"North Carolina","Hyde","01/07/2023","01/18/2023","EA H5N1","Northern shoveler","Wild bird","Hunter harvest","NWDP"
"Arkansas","Perry","01/06/2023","01/18/2023","EA H5N1","Snow goose","Wild bird","Morbidity/Mortality","NWDP"
"Arkansas","Grant","01/06/2023","01/18/2023","EA/AM H5N1","Ross's goose","Wild bird","Morbidity/Mortality","NWDP"
"Arkansas","Greene","01/06/2023","01/18/2023","EA H5","Snow goose","Wild bird","Morbidity/Mortality","NWDP"
"Arkansas","Craighead","01/06/2023","01/18/2023","EA/AM H5N1","Ross's goose","Wild bird","Morbidity/Mortality","NWDP"
"Arkansas","Greene","01/06/2023","01/18/2023","EA/AM H5N1","Great horned owl","Wild bird","Morbidity/Mortality","NWDP"
"Arkansas","Lonoke","01/06/2023","01/18/2023","EA/AM H5N1","Ross's goose","Wild bird","Morbidity/Mortality","NWDP"
"Arkansas","Union","01/06/2023","01/18/2023","EA/AM H5N1","Snow goose","Wild bird","Morbidity/Mortality","NWDP"
"Arkansas","Craighead","01/06/2023","01/18/2023","EA/AM H5N1","Snow goose","Wild bird","Morbidity/Mortality","NWDP"
"Arkansas","White","01/06/2023","01/18/2023","EA/AM H5N1","Snow goose","Wild bird","Morbidity/Mortality","NWDP"
"Arkansas","Arkansas","01/06/2023","01/18/2023","EA H5N1","Snow goose","Wild bird","Morbidity/Mortality","NWDP"
"Oregon","Lake","12/24/2022","01/18/2023","EA H5N1","Green-winged teal","Wild bird","Hunter harvest","NWDP"
"Arkansas","Greene","01/06/2023","01/18/2023","EA H5N1","Snow goose","Wild bird","Morbidity/Mortality","NWDP"
"Montana","Gallatin","01/06/2023","01/18/2023","EA/AM H5N1","Greater scaup","Wild bird","Morbidity/Mortality","MT FWP"
"New York","Nassau","01/10/2023","01/18/2023","EA H5N1","Peregrine falcon","Wild bird","Morbidity/Mortality","NY DEC"
"Maryland","Charles","01/11/2023","01/18/2023","EA/AM H5N1","Canada goose","Wild bird","Morbidity/Mortality","MD Dept of Ag"
"Maryland","Charles","01/11/2023","01/18/2023","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","MD Dept of Ag"
"Florida","Alachua","01/10/2023","01/18/2023","EA H5N1","Sandhill crane","Wild bird","Morbidity/Mortality","UF VDL"
"Nebraska","Lincoln","01/10/2023","01/18/2023","EA/AM H5N1","Canada goose","Wild bird","Morbidity/Mortality","NE Game and Parks"
"Nebraska","Lincoln","01/10/2023","01/18/2023","EA/AM H5N1","Canada goose","Wild bird","Morbidity/Mortality","NE Game and Parks"
"Oregon","Lane","12/28/2022","01/18/2023","EA/AM H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","OR DFW"
"Colorado","Jefferson","01/09/2023","01/18/2023","EA/AM H5N1","Canada goose","Wild bird","Morbidity/Mortality","CO Parks & Wildlife"
"Colorado","Mesa","01/05/2023","01/18/2023","EA/AM H5N1","Great horned owl","Wild bird","Morbidity/Mortality","CO Parks & Wildlife"
"Colorado","Logan","01/06/2023","01/18/2023","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","CO Parks & Wildlife"
"Colorado","Yuma","01/06/2023","01/18/2023","EA/AM H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","CO Parks & Wildlife"
"Colorado","Yuma","01/06/2023","01/18/2023","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","CO Parks & Wildlife"
"Colorado","Pueblo","01/05/2023","01/18/2023","EA/AM H5N1","Common raven","Wild bird","Morbidity/Mortality","CO Parks & Wildlife"
"Missouri","Clay","01/10/2023","01/18/2023","EA H5N1","Goose (unidentified)","Wild bird","Morbidity/Mortality","MO Dept of Conservation"
"Missouri","St. Louis","01/05/2023","01/18/2023","EA/AM H5N1","Turkey vulture","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Missouri","St. Louis","12/21/2022","01/18/2023","EA/AM H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","MO Dept of Conservation"
"Missouri","Benton","12/21/2022","01/18/2023","EA H5N1","Snow goose","Wild bird","Morbidity/Mortality","MO Dept of Conservation"
"Colorado","Larimer","01/08/2023","01/18/2023","EA/AM H5N1","Great horned owl","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"New Mexico","Eddy","01/10/2023","01/18/2023","EA/AM H5N1","Red-tailed hawk","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Colorado","Denver","01/07/2023","01/18/2023","EA/AM H5N1","Goose (unidentified)","Wild bird","Morbidity/Mortality","Private (non-government) submission"
"Colorado","Larimer","01/05/2023","01/18/2023","EA/AM H5N1","Red-tailed hawk","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Colorado","Weld","01/05/2023","01/18/2023","EA/AM H5N1","Red-tailed hawk","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Colorado","Weld","01/07/2023","01/18/2023","EA/AM H5N1","Great horned owl","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Colorado","Larimer","01/07/2023","01/18/2023","EA/AM H5N1","Great horned owl","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Essex","10/31/2022","01/18/2023","EA/AM H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Norfolk","10/31/2022","01/18/2023","EA H5N1","Double-crested cormorant","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Barnstable","10/31/2022","01/18/2023","EA H5N1","Double-crested cormorant","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Barnstable","10/31/2022","01/18/2023","EA/AM H5N1","Green-winged teal","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Barnstable","10/31/2022","01/18/2023","EA/AM H5N1","Herring gull","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Plymouth","10/31/2022","01/18/2023","EA/AM H5N1","Common goldeneye","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Barnstable","10/31/2022","01/18/2023","EA H5N1","Bufflehead","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Plymouth","10/31/2022","01/18/2023","EA/AM H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Barnstable","10/31/2022","01/18/2023","EA/AM H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Hampden","10/31/2022","01/18/2023","EA/AM H5N1","Canada goose","Wild bird","Morbidity/Mortality","Tufts University"
"Massachusetts","Barnstable","10/31/2022","01/18/2023","EA/AM H5N1","Great black-backed gull","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Barnstable","10/31/2022","01/18/2023","EA/AM H5N1","Great black-backed gull","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Middlesex","10/31/2022","01/18/2023","EA/AM H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","Tufts University"
"Massachusetts","Middlesex","10/31/2022","01/18/2023","EA/AM H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","Tufts University"
"Massachusetts","Barnstable","10/31/2022","01/18/2023","EA/AM H5N1","American black duck","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Barnstable","10/31/2022","01/18/2023","EA/AM H5N1","Great black-backed gull","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Barnstable","10/31/2022","01/18/2023","EA H5N1","Herring gull","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Barnstable","10/31/2022","01/18/2023","EA/AM H5N1","Great black-backed gull","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Plymouth","10/31/2022","01/18/2023","EA/AM H5N1","Turkey vulture","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Barnstable","10/31/2022","01/18/2023","EA/AM H5N1","Red-tailed hawk","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Barnstable","10/31/2022","01/18/2023","EA/AM H5N1","Great black-backed gull","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Oregon","Clatsop","01/07/2023","01/18/2023","EA H5 mixed","Mallard","Wild bird","Hunter harvest","NWDP"
"California","Ventura","10/26/2022","01/17/2023","EA/AM H5N1","Goose (unidentified)","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","Ventura","10/26/2022","01/17/2023","EA/AM H5N1","Canada goose","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","Ventura","10/26/2022","01/17/2023","EA/AM H5N1","Canada goose","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"Wyoming","Fremont","01/03/2023","01/13/2023","EA H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","WY GFD"
"California","Humboldt","12/17/2022","01/13/2023","EA H5N1","Common raven","Wild bird","Morbidity/Mortality","NWDP"
"California","Solano","10/22/2022","01/13/2023","EA H5N1","Gadwall","Wild bird","Hunter harvest","NWDP"
"California","Solano","10/22/2022","01/13/2023","EA H5N1","Cinnamon teal","Wild bird","Hunter harvest","NWDP"
"California","Solano","10/22/2022","01/13/2023","EA H5N1","Mallard","Wild bird","Hunter harvest","NWDP"
"California","Solano","10/22/2022","01/13/2023","EA H5N1","Green-winged teal","Wild bird","Hunter harvest","NWDP"
"California","Solano","10/22/2022","01/13/2023","EA H5","Green-winged teal","Wild bird","Hunter harvest","NWDP"
"California","Solano","10/22/2022","01/13/2023","EA/AM H5N1","American wigeon","Wild bird","Hunter harvest","NWDP"
"Arizona","La Paz","01/06/2023","01/13/2023","EA H5N1","Snow goose","Wild bird","Morbidity/Mortality","NWDP"
"Wyoming","Park","01/05/2023","01/13/2023","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","WY GFD"
"New York","Cayuga","01/10/2023","01/13/2023","EA H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","NY DEC"
"Texas","Carson","01/06/2023","01/13/2023","EA/AM H5N1","Cackling goose","Wild bird","Morbidity/Mortality","TX PWD"
"Texas","Carson","01/06/2023","01/13/2023","EA/AM H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","TX PWD"
"Utah","Utah","01/03/2023","01/13/2023","EA H5N1","Goose (unidentified)","Wild bird","Morbidity/Mortality","UT DWR"
"Utah","Duchesne","01/04/2023","01/13/2023","EA H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","UT DWR"
"Utah","Duchesne","01/04/2023","01/13/2023","EA H5N1","Goose (unidentified)","Wild bird","Morbidity/Mortality","UT DWR"
"Utah","Duchesne","01/04/2023","01/13/2023","EA H5N1","Duck (unidentified)","Wild bird","Morbidity/Mortality","UT DWR"
"Utah","Duchesne","01/04/2023","01/13/2023","EA H5N1","Goose (unidentified)","Wild bird","Morbidity/Mortality","UT DWR"
"Utah","Duchesne","01/04/2023","01/13/2023","EA/AM H5N1","Goose (unidentified)","Wild bird","Morbidity/Mortality","UT DWR"
"California","San Francisco","12/21/2022","01/13/2023","EA H5N1","Great horned owl","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","Lassen","12/21/2022","01/13/2023","EA H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","Sutter","12/21/2022","01/13/2023","EA/AM H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","Marin","12/21/2022","01/13/2023","EA/AM H5N1","Great horned owl","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","Marin","12/21/2022","01/13/2023","EA H5N1","Common raven","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","Marin","12/21/2022","01/13/2023","EA/AM H5N1","Bufflehead","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","Los Angeles","12/22/2022","01/13/2023","EA H5N1","Turkey vulture","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","Los Angeles","12/22/2022","01/13/2023","EA H5N1","Turkey vulture","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"Idaho","Ada","01/04/2023","01/13/2023","EA H5N1","Magpie (unidentified)","Wild bird","Morbidity/Mortality","ID Fish and Game"
"Washington","Whitman","01/06/2023","01/13/2023","EA H5N1","Hawk (unidentified)","Wild bird","Morbidity/Mortality","WA DFW"
"Pennsylvania","Berks","01/09/2023","01/13/2023","EA/AM H5N1","Mute swan","Wild bird","Morbidity/Mortality","PA Game Commission"
